pathway description	SRR17644439
PWY-6923	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6928	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6932	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6937	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6938	Generation of Precursor Metabolite and Energy; NADH repair
PWY-6941	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6942	Biosynthesis; Carbohydrate Biosynthesis
PWY-6943	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6944	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6945	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6946	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6947	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6948	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6952	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-6953	Biosynthesis; Carbohydrate Biosynthesis
PWY-6954	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6955	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6956	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6957	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6961	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6962	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6964	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6965	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6966	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-6967	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6968	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6969	Generation of Precursor Metabolite and Energy; TCA cycle
PWY-6971	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6972	Activation/Inactivation/Interconversion; Interconversions
PWY-6973	Biosynthesis; Carbohydrate Biosynthesis
PWY-6974	Biosynthesis; Carbohydrate Biosynthesis
PWY-6975	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6976	Biosynthesis; Carbohydrate Biosynthesis
PWY-6977	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6978	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6983	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6984	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6986	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6987	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6989	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6992	Generation of Precursor Metabolite and Energy; 1,5-anhydrofructose degradation
PWY-6993	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-6994	Biosynthesis; Amino Acid Biosynthesis
PWY-6995	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6996	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6997	Detoxification; furfural degradation
PWY-6998	Biosynthesis; Carbohydrate Biosynthesis
PWY-6999	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7000	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7002	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7003	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7006	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7007	Generation of Precursor Metabolite and Energy; methyl ketone biosynthesis (engineered)
PWY-7008	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7009	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-701	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-7010	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7011	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7013	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7014	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7015	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7016	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7018	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7019	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7020	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7021	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7022	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7024	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-7025	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7026	Biosynthesis; Carbohydrate Biosynthesis
PWY-7027	Biosynthesis; Carbohydrate Biosynthesis
PWY-7028	Biosynthesis; Carbohydrate Biosynthesis
PWY-7029	Biosynthesis; Carbohydrate Biosynthesis
PWY-7031	Biosynthesis; Carbohydrate Biosynthesis
PWY-7032	Biosynthesis; Carbohydrate Biosynthesis
PWY-7036	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7037	Biosynthesis; Carbohydrate Biosynthesis
PWY-7040	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7044	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7045	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7046	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7050	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7052	Biosynthesis; Storage Compound Biosynthesis
PWY-7054	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-7072	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7077	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7081	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7082	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7084	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7085	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-7087	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7090	Biosynthesis; Carbohydrate Biosynthesis
PWY-7094	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7096	Detoxification; Antibiotic Resistance
PWY-7097	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7098	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7100	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7102	Generation of Precursor Metabolite and Energy; bisabolene biosynthesis (engineered)
PWY-7104	Biosynthesis; Carbohydrate Biosynthesis
PWY-7106	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7108	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7109	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7110	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7111	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7124	Biosynthesis; Hormone Biosynthesis
PWY-7126	Generation of Precursor Metabolite and Energy; ethylene biosynthesis IV (engineered)
PWY-7127	Biosynthesis; Carbohydrate Biosynthesis
PWY-7128	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-7130	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7131	Biosynthesis; Carbohydrate Biosynthesis
PWY-7136	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7147	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7153	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7159	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7165	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7167	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-7174	Biosynthesis; Amino Acid Biosynthesis
PWY-7175	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7176	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7177	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7178	Generation of Precursor Metabolite and Energy; ethylene glycol biosynthesis (engineered)
PWY-7179	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7180	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7181	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7183	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7184	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7185	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7187	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7193	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7194	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7195	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7196	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7197	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7198	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7199	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7200	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7205	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7206	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-7208	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7209	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-721	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7210	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7211	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7216	Biosynthesis; Storage Compound Biosynthesis
PWY-7218	Biosynthesis; Storage Compound Biosynthesis
PWY-7219	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-722	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7220	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7221	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7222	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7224	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7226	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7227	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7228	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7229	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7234	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-7236	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7237	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7241	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7242	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7246	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7247	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7248	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7250	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7254	Generation of Precursor Metabolite and Energy; TCA cycle
PWY-7255	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7274	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7275	Biosynthesis; Amino Acid Biosynthesis
PWY-7285	Macromolecule Modification; Nucleic Acid Processing
PWY-7286	Macromolecule Modification; Nucleic Acid Processing
PWY-7287	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7289	Biosynthesis; Amino Acid Biosynthesis
PWY-7290	Biosynthesis; Cell Structure Biosynthesis
PWY-7294	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7295	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7301	Biosynthesis; Carbohydrate Biosynthesis
PWY-7303	Biosynthesis; Aromatic Compound Biosynthesis
PWY-7304	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7308	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-7309	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-7310	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-7312	Biosynthesis; Carbohydrate Biosynthesis
PWY-7315	Biosynthesis; Carbohydrate Biosynthesis
PWY-7316	Biosynthesis; Carbohydrate Biosynthesis
PWY-7317	Biosynthesis; Carbohydrate Biosynthesis
PWY-7318	Biosynthesis; Carbohydrate Biosynthesis
PWY-7323	Biosynthesis; Carbohydrate Biosynthesis
PWY-7328	Biosynthesis; Carbohydrate Biosynthesis
PWY-7330	Biosynthesis; Carbohydrate Biosynthesis
PWY-7331	Biosynthesis; Carbohydrate Biosynthesis
PWY-7332	Biosynthesis; Carbohydrate Biosynthesis
PWY-7333	Biosynthesis; Carbohydrate Biosynthesis
PWY-7334	Biosynthesis; Carbohydrate Biosynthesis
PWY-7335	Biosynthesis; Carbohydrate Biosynthesis
PWY-7336	Biosynthesis; Carbohydrate Biosynthesis
PWY-7343	Biosynthesis; Carbohydrate Biosynthesis
PWY-7344	Biosynthesis; Carbohydrate Biosynthesis
PWY-7346	Biosynthesis; Carbohydrate Biosynthesis
PWY-7347	Biosynthesis; Carbohydrate Biosynthesis
PWY-7352	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7354	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7355	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7356	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7367	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-7369	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7371	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7372	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7373	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7374	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7376	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7377	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7378	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7380	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7385	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7387	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7391	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7392	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7393	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7394	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7395	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7396	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7398	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7399	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7400	Biosynthesis; Amino Acid Biosynthesis
PWY-7401	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7402	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7403	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7405	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7407	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-741	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7412	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7413	Biosynthesis; Carbohydrate Biosynthesis
PWY-7414	Biosynthesis; Carbohydrate Biosynthesis
PWY-7415	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7419	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7421	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7422	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7425	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-7428	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-7429	Generation of Precursor Metabolite and Energy; Respiration
PWY-743	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-7431	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-7438	Biosynthesis; Carbohydrate Biosynthesis
PWY-7439	Biosynthesis; Carbohydrate Biosynthesis
PWY-7440	Biosynthesis; Carbohydrate Biosynthesis
PWY-7441	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7446	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7447	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7456	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7457	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7459	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7462	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7465	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7467	Biosynthesis; Cell Structure Biosynthesis
PWY-7469	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7470	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7471	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-7472	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-7480	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7482	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7483	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7485	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7496	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-7509	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7510	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7512	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-7513	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7514	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-7515	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-7516	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7521	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7524	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7527	Biosynthesis; Amino Acid Biosynthesis
PWY-7528	Biosynthesis; Amino Acid Biosynthesis
PWY-7529	Biosynthesis; Carbohydrate Biosynthesis
PWY-7530	Biosynthesis; Cell Structure Biosynthesis
PWY-7531	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7536	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7539	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7541	Generation of Precursor Metabolite and Energy; Fermentation
PWY-7544	Generation of Precursor Metabolite and Energy; Respiration
PWY-7545	Generation of Precursor Metabolite and Energy; Respiration
PWY-7547	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7548	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7552	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7554	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7557	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7560	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7562	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7564	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7566	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7568	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7569	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7570	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7573	Biosynthesis; Carbohydrate Biosynthesis
PWY-7574	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-7575	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7576	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-7578	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7579	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7580	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7581	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7582	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-7583	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7585	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7586	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-7587	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7588	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7589	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7591	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7593	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7594	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7595	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7596	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7598	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-761	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7610	Biosynthesis; Carbohydrate Biosynthesis
PWY-7613	Biosynthesis; Carbohydrate Biosynthesis
PWY-7616	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-7620	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7621	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7622	Biosynthesis; Carbohydrate Biosynthesis
PWY-7623	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7624	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7626	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7627	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7628	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-7637	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7638	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7639	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-7641	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7644	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7645	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7646	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7647	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7651	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-7652	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-7657	Biosynthesis; Carbohydrate Biosynthesis
PWY-7658	Biosynthesis; Carbohydrate Biosynthesis
PWY-7661	Biosynthesis; Carbohydrate Biosynthesis
PWY-7663	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7664	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7666	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-7671	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-7674	Biosynthesis; Carbohydrate Biosynthesis
PWY-7675	Biosynthesis; Cell Structure Biosynthesis
PWY-7676	Biosynthesis; Cell Structure Biosynthesis
PWY-7677	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-804	Generation of Precursor Metabolite and Energy; Fermentation
PWY-81	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-822	Biosynthesis; Carbohydrate Biosynthesis
PWY-841	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-881	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-922	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-981	Biosynthesis; Aromatic Compound Biosynthesis
PWY0-1021	Biosynthesis; Amino Acid Biosynthesis
PWY0-1061	Biosynthesis; Amino Acid Biosynthesis
PWY0-1182	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1221	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY0-1241	Biosynthesis; Carbohydrate Biosynthesis
PWY0-1261	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY0-1264	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY0-1275	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-1277	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY0-1280	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY0-1295	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1296	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1297	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1298	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1299	Detoxification; Acid Resistance
PWY0-1300	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1301	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1303	Biosynthesis; Amine and Polyamine Biosynthesis
PWY0-1305	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY0-1306	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY0-1309	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1312	Generation of Precursor Metabolite and Energy; Fermentation
PWY0-1313	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY0-1314	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1315	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY0-1317	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY0-1319	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY0-1321	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1324	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1325	Biosynthesis; Amino Acid Biosynthesis
PWY0-1329	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1334	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1335	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1336	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1337	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY0-1338	Biosynthesis; Cell Structure Biosynthesis
PWY0-1347	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1348	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1352	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1353	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1355	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1356	Generation of Precursor Metabolite and Energy; Respiration
